client_id,LOR,gender,age_group,urban_inhabitant_ratio,dist_unemploy_rate,R_Score,F_Score,M_Score,RFM_Score,Credit_F_Score,Withdrawal_F_Score,dist_salary_avg,stat_issued_after_trans,stat_issued_weekly,log_total_credit,log_total_withdrawal,log_avg_amount_trans_96,log_transaction_std,log_avg_balance,log_balance_std,granted_loan,card_issued
692,3,F,60,1.0,0.5585284280936454,4,2,1,7,2,2,Medium salary,False,False,11.239768063588297,11.162221232235538,7.7677589440384605,7.81157594982165,10.412226355243595,7.81157594982165,0,0
4601,3,M,60,1.0,0.0,4,3,2,9,2,4,High salary,False,False,12.366516623804811,12.317324175041977,8.450402557945111,8.720212435063335,10.759780404925346,8.720212435063335,0,0
844,3,M,50,0.2798789712556733,0.09141583054626531,4,3,2,9,2,3,Low salary,False,False,12.339356695067917,12.294684075086023,8.579600201425706,8.863470503463722,10.17861552602072,8.863470503463722,0,0
2873,3,F,20,0.3479576399394857,0.12374581939799331,4,3,4,11,3,3,Low salary,False,False,13.406858476848244,13.358715628485667,9.657383314187088,9.66781213617674,11.1813205948038,9.66781213617674,0,0
3177,3,M,50,0.6974281391830562,0.17614269788182826,4,3,2,9,2,4,Low salary,False,False,12.137038166034763,12.160401412434588,8.256967719732613,8.570590681513846,10.139420359314311,8.570590681513846,0,0
2397,3,M,70,0.5990922844175494,0.20958751393534003,4,2,1,7,2,2,Low salary,False,False,11.075807137860156,11.017270844035549,7.629240558409841,7.610773514655143,9.957943369561628,7.610773514655143,0,0
1866,3,F,50,0.617246596066566,0.20958751393534003,4,3,3,10,3,3,Medium salary,True,False,12.907713651209042,12.91328297482968,9.196930123480742,9.41622424749355,10.456828187592064,9.41622424749355,0,0
950,3,F,30,0.2617246596066567,0.6075808249721292,4,3,1,8,2,3,Low salary,False,False,10.64597950534677,10.49817259107378,6.802043488352234,6.991131273031822,10.130124351671244,6.991131273031822,0,0
2999,3,F,10,1.0,0.5585284280936454,4,4,2,10,2,4,Medium salary,False,False,12.17158367998143,12.18441582027093,8.198338679061052,8.583729366791083,10.022524381304583,8.583729366791083,0,0
2058,3,M,20,0.2617246596066567,0.6075808249721292,4,3,3,10,4,2,Low salary,False,False,12.977253208729191,12.907014865673785,9.253871134469664,9.287430070451121,10.915665752097343,9.287430070451121,0,0
2093,3,M,20,0.3797276853252649,0.2240802675585284,4,4,2,10,2,4,Low salary,False,False,12.135717239071038,12.13920180665287,8.139260338968391,8.501401704587506,9.988185280331775,8.501401704587506,0,0
3483,3,M,50,0.8472012102874434,0.8160535117056855,4,2,1,7,3,2,Medium salary,False,False,11.764851595012347,11.72386039340826,8.161047075877084,8.2757932230167,10.50610778979906,8.2757932230167,0,0
2849,3,M,60,0.2844175491679275,0.3957636566332218,4,2,1,7,2,2,Low salary,False,False,11.270110952691446,11.262837141857936,7.8652832791384615,7.989823515715733,10.07392635769287,7.989823515715733,0,0
2636,3,M,70,0.0453857791225416,0.17614269788182826,4,2,1,7,2,2,Low salary,False,False,11.043528051938308,11.180541659313619,7.617872052032557,7.58731543956565,9.99520706495293,7.58731543956565,0,0
583,3,F,30,0.46444780635400906,0.5830546265328873,4,4,4,12,4,4,Low salary,True,False,13.337181649553347,13.356266437049785,9.252425009027753,9.385533493838363,11.071448597504824,9.385533493838363,0,0
782,3,F,30,0.26475037821482605,0.44593088071348935,4,2,2,8,2,2,Low salary,False,False,12.15940338066293,12.128798435361743,8.617857461661607,8.690305410906513,10.91322292839279,8.690305410906513,0,0
